run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_emily_brooks_james_carter,similarity_emily_brooks_sarah_mitchell,similarity_james_carter_sarah_mitchell
low_treatment_20260604_140134_043,low,treatment,low_treatment_20260604_140134_043,completed,20260604_194015,2026-06-04T19:44:47+0200,2,6,3,6,18,12,80327,52056,132383,321290.83,272.1365,Candidate C,consensus,Candidate C,1,0.934028,0.903962,0.956476,0.934028,0.722222,0.674576,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_043/metadata.json,0,0,3,0,0.903962,0.941646,0.956476
low_treatment_20260604_140134_044,low,treatment,low_treatment_20260604_140134_044,completed,20260604_194451,2026-06-04T19:49:45+0200,2,6,5,10,18,16,94104,55775,149879,321290.83,293.9718,Candidate C,consensus,Candidate C,1,0.944639,0.937162,0.948982,0.944639,0.722222,0.682239,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_044/metadata.json,0,0,3,0,0.947774,0.948982,0.937162
low_treatment_20260604_140134_045,low,treatment,low_treatment_20260604_140134_045,completed,20260604_194947,2026-06-04T19:53:56+0200,2,6,5,10,18,16,91040,47760,138800,321290.83,248.2078,Candidate B,consensus,Candidate C,0,0.949253,0.947887,0.950597,0.949253,0.388889,0.369154,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_045/metadata.json,0,3,0,0,0.949274,0.950597,0.947887
low_treatment_20260604_140134_046,low,treatment,low_treatment_20260604_140134_046,completed,20260604_195359,2026-06-04T20:04:58+0200,5,15,14,28,45,43,256250,126562,382812,321290.83,659.8738,Candidate B,max_round_majority_vote,Candidate C,0,0.938549,0.928785,0.949023,0.938549,0.611111,0.573558,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_046/metadata.json,0,2,1,0,0.928785,0.937838,0.949023
low_treatment_20260604_140134_047,low,treatment,low_treatment_20260604_140134_047,completed,20260604_200501,2026-06-04T20:13:32+0200,3,9,10,20,26,29,195672,92002,287674,321290.83,510.6541,Candidate C,consensus,Candidate C,1,0.926935,0.917304,0.93233,0.926935,0.722222,0.669453,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_047/metadata.json,0,0,3,0,0.93233,0.917304,0.931171
low_treatment_20260604_140134_048,low,treatment,low_treatment_20260604_140134_048,completed,20260604_201335,2026-06-04T20:18:28+0200,2,6,6,12,17,18,102105,55121,157226,321290.83,292.7767,Candidate C,consensus,Candidate C,1,0.942577,0.935361,0.949659,0.942577,0.555556,0.523654,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_048/metadata.json,0,0,3,0,0.94271,0.949659,0.935361
low_treatment_20260604_140134_049,low,treatment,low_treatment_20260604_140134_049,completed,20260604_201831,2026-06-04T20:22:50+0200,2,6,7,14,18,20,101105,48343,149448,321290.83,259.0045,Candidate B,consensus,Candidate C,0,0.960157,0.953824,0.963656,0.960157,0.611111,0.586763,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_049/metadata.json,0,3,0,0,0.96299,0.963656,0.953824
low_treatment_20260604_140134_050,low,treatment,low_treatment_20260604_140134_050,completed,20260604_202253,2026-06-04T20:29:40+0200,3,8,8,16,26,24,150234,77580,227814,321290.83,407.4401,Candidate B,consensus,Candidate C,0,0.945416,0.942201,0.950583,0.945416,0.5,0.472708,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_050/metadata.json,0,3,0,0,0.943465,0.950583,0.942201
low_treatment_20260604_140134_051,low,treatment,low_treatment_20260604_140134_051,completed,20260604_202943,2026-06-04T20:45:55+0200,5,15,13,26,44,41,320890,162236,483126,321290.83,971.8795,Candidate B,max_round_majority_vote,Candidate C,0,0.947125,0.94283,0.949439,0.947125,0.611111,0.578799,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_051/metadata.json,0,2,1,0,0.949106,0.949439,0.94283
low_treatment_20260604_140134_052,low,treatment,low_treatment_20260604_140134_052,completed,20260604_204558,2026-06-04T20:50:19+0200,2,6,3,6,18,12,81748,50859,132607,321290.83,261.1628,Candidate C,consensus,Candidate C,1,0.948419,0.938491,0.95638,0.948419,0.722222,0.684969,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_052/metadata.json,0,0,3,0,0.938491,0.95638,0.950385
