agent_tool_calls,agent_turns,all_evidence_shared_recall,all_evidence_union_recall,condition,cooperation_behavior_score,coordination_accuracy,decision_correct,decision_method,decision_state_accuracy,evidence_quality,final_candidate,important_evidence_shared_recall,important_evidence_union_recall,metadata_file,old_embedding_similarity,old_smm_quality,public_important_fact_recall,quality_penalty,rounds,run_id,similarity_candidate_coverage_checklist,similarity_candidate_review_status,similarity_current_positions,similarity_group_decision_state,similarity_information_distribution,smm_mode,smm_quality_cognitive_only,smm_quality_cognitive_only_raw,smm_quality_prototype,smm_quality_raw,smm_quality_without_decision_state,smm_quality_without_decision_state_raw,smm_whole_similarity,tool_usefulness_score,total_tokens,unsupported_flag_count,vote_revision_score
0,6,0.592593,0.97037,high,0.231579,1.0,0,consensus,0.4,0.671053,Candidate B,0.578947,0.947368,01_data/backup/backup_01/high/high_treatment_20260606_092841_034/metadata.json,0.960884,0.64059,0.421053,0.0,2,high_treatment_20260606_092841_034,1.0,0.810212,0.51361,0.71444,0.658467,treatment,0.669079,0.669079,0.616711,0.616711,0.665395,0.665395,0.735197,0.0,187494,0,0.0
3,6,0.548148,0.97037,high,0.357237,1.0,0,consensus,0.6,0.611842,Candidate B,0.5,0.947368,01_data/backup/backup_01/high/high_treatment_20260606_092841_035/metadata.json,0.868347,0.385932,0.263158,0.2,2,high_treatment_20260606_092841_035,0.880447,0.730888,0.577362,0.674579,0.585653,treatment,0.486513,0.686513,0.448914,0.648914,0.457961,0.657961,0.682506,0.85,424899,12,0.0
5,6,0.8,0.940741,high,0.741535,1.0,1,consensus,0.8,0.756579,Candidate C,0.710526,0.894737,01_data/backup/backup_01/high/high_treatment_20260606_092841_036/metadata.json,0.959912,0.853255,0.631579,0.0,2,high_treatment_20260606_092841_036,0.816667,0.882142,0.689718,0.754391,0.607048,treatment,0.816118,0.816118,0.811691,0.811691,0.814425,0.814425,0.766162,0.91,289987,0,0.833333
3,9,0.607407,0.97037,high,0.452632,1.0,0,consensus,0.4,0.651316,Candidate D,0.552632,0.947368,01_data/backup/backup_01/high/high_treatment_20260606_092841_037/metadata.json,0.938041,0.416907,0.368421,0.0,3,high_treatment_20260606_092841_037,0.865122,0.803952,0.41731,0.825119,0.636439,treatment,0.658224,0.658224,0.640987,0.640987,0.69875,0.69875,0.722804,1.0,356026,0,0.0
1,15,0.762963,0.955556,high,0.485965,1.0,0,max_round_majority_vote,0.4,0.782895,Candidate B,0.736842,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_038/metadata.json,0.956907,0.691099,0.368421,0.0,5,high_treatment_20260606_092841_038,0.277028,0.815166,0.638754,0.760806,0.654181,treatment,0.730592,0.730592,0.705197,0.705197,0.777785,0.777785,0.691821,1.0,697041,0,0.166667
0,6,0.681481,0.866667,high,0.476316,1.0,1,consensus,0.8,0.684211,Candidate C,0.657895,0.763158,01_data/backup/backup_01/high/high_treatment_20260606_092841_039/metadata.json,0.94261,0.628407,0.684211,0.0,2,high_treatment_20260606_092841_039,0.817418,0.783151,0.615696,0.84205,0.656313,treatment,0.776316,0.776316,0.739342,0.739342,0.721579,0.721579,0.747872,0.0,172315,0,0.5
1,6,0.474074,1.0,high,0.239145,1.0,0,consensus,0.466667,0.546053,Candidate A,0.394737,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_040/metadata.json,0.935248,0.467624,0.105263,0.0,2,high_treatment_20260606_092841_040,0.453548,0.709267,0.622215,0.619544,0.318978,treatment,0.616996,0.616996,0.574929,0.574929,0.598158,0.598158,0.574635,0.725,158041,0,0.0
1,6,0.733333,0.933333,high,0.582895,1.0,0,consensus,0.4,0.763158,Candidate B,0.710526,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_041/metadata.json,0.956828,0.531572,0.605263,0.0,2,high_treatment_20260606_092841_041,0.847669,0.799916,0.698715,0.657786,0.556953,treatment,0.719737,0.719737,0.710855,0.710855,0.786316,0.786316,0.712493,1.0,183232,0,0.0
5,6,0.592593,0.814815,high,0.639474,1.0,1,consensus,0.8,0.532895,Candidate C,0.473684,0.710526,01_data/backup/backup_01/high/high_treatment_20260606_092841_042/metadata.json,0.931664,0.517592,0.526316,0.0,2,high_treatment_20260606_092841_042,0.720021,0.823111,0.449177,0.849173,0.317244,treatment,0.693092,0.693092,0.695724,0.695724,0.670987,0.670987,0.660751,1.0,238513,0,0.5
1,6,0.674074,0.962963,high,0.574342,1.0,1,consensus,0.8,0.782895,Candidate C,0.710526,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_043/metadata.json,0.924428,0.719,0.657895,0.0,2,high_treatment_20260606_092841_043,0.557071,0.807845,0.524706,0.763875,0.544277,treatment,0.830592,0.830592,0.798454,0.798454,0.795461,0.795461,0.678789,0.45,171487,0,0.5
2,6,0.674074,0.822222,high,0.672807,1.0,1,consensus,0.8,0.703947,Candidate C,0.684211,0.763158,01_data/backup/backup_01/high/high_treatment_20260606_092841_044/metadata.json,0.939024,0.78252,0.526316,0.0,2,high_treatment_20260606_092841_044,0.844561,0.847611,0.510374,0.727369,0.584091,treatment,0.787171,0.787171,0.777697,0.777697,0.771732,0.771732,0.719968,1.0,514755,0,0.666667
